importance,author,title,table_name,keywords,Left/Right,Name,Broadman Area,t,X(R),Y(A),Z(S),z-score,NV,p value,cluster size,index_col,MNIX,MNIY,MNIZ,BA,TALX,TALY,TALZ,BA_name,BA_no
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 2 - Decision Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Deliberating over Choices in Which the Experimental Gamble Was Associated with Large Gains Compared with Small Gains,fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,anterior cingulate cortex,nan,,6,46,20,3.55,,,,470,6,46,20,Right-dlPFC(dorsal) (9),5,43,18,Right-dlPFC(dorsal) ,9.0
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 2 - Decision Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Deliberating over Choices in Which the Experimental Gamble Was Associated with Large Gains Compared with Small Gains,fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,frontal operculum/orbitofrontal cortex,nan,,36,24,-12,4.08,,0.0489,391.0,471,36,24,-12,Right-ParsOrbitalis (47),34,19,-6,Right-ParsOrbitalis ,47.0
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 2 - Decision Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Deliberating over Choices in Which the Experimental Gamble Was Associated with Large Gains Compared with Small Gains,fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,frontal operculum/orbitofrontal cortex,nan,,40,22,-12,3.57,,,,472,40,22,-12,Right-ParsOrbitalis (47),38,18,-6,Right-ParsOrbitalis ,47.0
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 2 - Decision Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Deliberating over Choices in Which the Experimental Gamble Was Associated with Large Gains Compared with Small Gains,fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,frontal operculum/orbitofrontal cortex,nan,,32,22,-14,3.45,,,,473,32,22,-14,Right-ParsOrbitalis (47),30,17,-8,Right-ParsOrbitalis ,47.0
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 2 - Decision Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Deliberating over Choices in Which the Experimental Gamble Was Associated with Large Gains Compared with Small Gains,fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,frontal operculum/orbitofrontal cortex,nan,,46,22,-6,3.03,,,,474,46,22,-6,Right-ParsOrbitalis (47),43,18,0,Right-ParsOrbitalis ,47.0
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 2 - Decision Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Deliberating over Choices in Which the Experimental Gamble Was Associated with Large Gains Compared with Small Gains,fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,frontal operculum/orbitofrontal cortex,nan,,50,22,-4,2.98,,,,475,50,22,-4,Right-ParsOrbitalis (47),47,19,0,Right-ParsOrbitalis ,47.0
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 2 - Decision Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Deliberating over Choices in Which the Experimental Gamble Was Associated with Large Gains Compared with Small Gains,fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,frontal operculum/orbitofrontal cortex,nan,,36,28,-2,3.15,,,,476,36,28,-2,Right-Insula (13),34,25,1,Right-Insula ,13.0
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 3 - Output Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Those Trials for Which Participants Won Their Chosen Gamble (Good Outcomes) Compared with Trials for Which They Lost (Bad Outcomes),fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,posterior orbitofrontal cortex,nan,,-10,16,-18,5.89,,1e-06,5205.0,477,-10,16,-18,Left-OrbFrontal (11),-10,12,-13,Left-OrbFrontal ,11.0
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 3 - Output Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Those Trials for Which Participants Won Their Chosen Gamble (Good Outcomes) Compared with Trials for Which They Lost (Bad Outcomes),fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,posterior orbitofrontal cortex,nan,,-12,10,-16,5.55,,,,478,-12,10,-16,Outside defined BAs,-12,6,-11,Outside defined BAs,
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 3 - Output Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Those Trials for Which Participants Won Their Chosen Gamble (Good Outcomes) Compared with Trials for Which They Lost (Bad Outcomes),fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,posterior orbitofrontal cortex,nan,,-14,14,-16,5.35,,,,479,-14,14,-16,Left-OrbFrontal (11),-14,10,-11,Left-OrbFrontal ,11.0
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 3 - Output Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Those Trials for Which Participants Won Their Chosen Gamble (Good Outcomes) Compared with Trials for Which They Lost (Bad Outcomes),fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,posterior orbitofrontal cortex,nan,,20,12,-18,5.76,,,,480,20,12,-18,Outside defined BAs,19,8,-12,Outside defined BAs,
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 3 - Output Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Those Trials for Which Participants Won Their Chosen Gamble (Good Outcomes) Compared with Trials for Which They Lost (Bad Outcomes),fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,posterior orbitofrontal cortex,nan,,22,20,-10,5.11,,,,481,22,20,-10,Outside defined BAs,21,16,-5,Outside defined BAs,
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 3 - Output Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Those Trials for Which Participants Won Their Chosen Gamble (Good Outcomes) Compared with Trials for Which They Lost (Bad Outcomes),fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,anterior cingulate cortex,nan,,12,20,-10,4.86,,,,482,12,20,-10,Outside defined BAs,11,16,-6,Outside defined BAs,
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 3 - Output Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Those Trials for Which Participants Won Their Chosen Gamble (Good Outcomes) Compared with Trials for Which They Lost (Bad Outcomes),fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,superior frontal sulcus,nan,,-22,24,54,4.05,,0.000165,888.0,483,-22,24,54,Outside defined BAs,-21,26,49,Outside defined BAs,
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 3 - Output Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Those Trials for Which Participants Won Their Chosen Gamble (Good Outcomes) Compared with Trials for Which They Lost (Bad Outcomes),fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,middle frontal gyrus,46,,-22,30,50,3.59,,,,484,-22,30,50,Left-FrontEyeFields (8),-21,32,45,Left-FrontEyeFields ,8.0
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 3 - Output Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Those Trials for Which Participants Won Their Chosen Gamble (Good Outcomes) Compared with Trials for Which They Lost (Bad Outcomes),fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,superior frontal sulcus,nan,,-18,26,50,3.64,,,,485,-18,26,50,Left-FrontEyeFields (8),-17,28,45,Left-FrontEyeFields ,8.0
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 3 - Output Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Those Trials for Which Participants Won Their Chosen Gamble (Good Outcomes) Compared with Trials for Which They Lost (Bad Outcomes),fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,superior frontal sulcus,nan,,-28,32,44,4.04,,,,486,-28,32,44,Left-dlPFC(dorsal) (9),-27,33,40,Left-dlPFC(dorsal) ,9.0
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 3 - Output Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Those Trials for Which Participants Won Their Chosen Gamble (Good Outcomes) Compared with Trials for Which They Lost (Bad Outcomes),fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,superior frontal sulcus,nan,,-26,30,44,3.67,,,,487,-26,30,44,Left-FrontEyeFields (8),-25,31,40,Left-FrontEyeFields ,8.0
+,Rogers et al,Distinct Portions of Anterior Cingulate Cortex and Medial Prefrontal Cortex Are Activated by Reward Processing in Separable Phases of Decision-Making Cognition,Table 3 - Output Phase - Significant Increases (Local Maxima) in BOLD Response Associated with Those Trials for Which Participants Won Their Chosen Gamble (Good Outcomes) Compared with Trials for Which They Lost (Bad Outcomes),fMRI; decision phase; decision making; monetary reward; MNI; gambling; positive reward,,superior frontal sulcus,nan,,-26,26,38,3.64,,,,488,-26,26,38,Left-dlPFC(dorsal) (9),-25,26,35,Left-dlPFC(dorsal) ,9.0
+,Sescousse et al,The Architecture of Reward Value Coding in the Human Orbitofrontal Cortex,Table S1 - Brain regions specific of monetary reward outcomes,fMRI; reward value; outcome phase; decision making; monetary reward; MID; MNI; performance-dependent,Left,middle frontal / anterior orbital gyrus,nan,5.92,-30,51,0,,,0.05,,489,-30,51,0,Left-AntPFC (10),-30,47,0,Left-AntPFC ,10.0
+,Sescousse et al,The Architecture of Reward Value Coding in the Human Orbitofrontal Cortex,Table S1 - Brain regions specific of monetary reward outcomes,fMRI; reward value; outcome phase; decision making; monetary reward; MID; MNI; performance-dependent,Right,middle frontal / anterior orbital gyrus,nan,6.8,30,54,-3,,,0.05,,490,30,54,-3,Right-AntPFC (10),29,50,-2,Right-AntPFC ,10.0
+,Sescousse et al,The Architecture of Reward Value Coding in the Human Orbitofrontal Cortex,Table S1 - Brain regions specific of monetary reward outcomes,fMRI; reward value; outcome phase; decision making; monetary reward; MID; MNI; performance-dependent,Right,middle frontal gyrus,nan,6.05,36,12,54,,,0.05,,491,36,12,54,Right-FrontEyeFields (8),36,15,50,Right-FrontEyeFields ,8.0
+,Sescousse et al,The Architecture of Reward Value Coding in the Human Orbitofrontal Cortex,Table S1 - Brain regions specific of monetary reward outcomes,fMRI; reward value; outcome phase; decision making; monetary reward; MID; MNI; performance-dependent,Left,inferior parietal lobule,nan,8.99,-51,-48,57,,,0.05,,492,-51,-48,57,Outside defined BAs,-51,-44,52,Outside defined BAs,
+,Sescousse et al,The Architecture of Reward Value Coding in the Human Orbitofrontal Cortex,Table S1 - Brain regions specific of monetary reward outcomes,fMRI; reward value; outcome phase; decision making; monetary reward; MID; MNI; performance-dependent,Right,inferior parietal lobule,nan,6.99,45,-48,45,,,0.05,,493,45,-48,45,Right-SupramargGyr (40),46,-45,42,Right-SupramargGyr ,40.0
+,Sescousse et al,The Architecture of Reward Value Coding in the Human Orbitofrontal Cortex,Table S1 - Brain regions specific of monetary reward outcomes,fMRI; reward value; outcome phase; decision making; monetary reward; MID; MNI; performance-dependent,Right,precuneus,nan,5.38,3,-66,48,,,0.05,,494,3,-66,48,Right-VisMotor (7),3,-62,43,Right-VisMotor ,7.0
+,Sescousse et al,The Architecture of Reward Value Coding in the Human Orbitofrontal Cortex,Table S2 - Brain regions specific of erotic reward outcomes,fMRI; reward value; outcome phase; decision making; erotic stimuli; MNI; performance-dependent,Left,posterior orbital gyrus,nan,7.56,-30,33,-15,,,0.05,,495,-30,33,-15,Left-ParsOrbitalis (47),-30,28,-11,Left-ParsOrbitalis ,47.0
+,Sescousse et al,The Architecture of Reward Value Coding in the Human Orbitofrontal Cortex,Table S2 - Brain regions specific of erotic reward outcomes,fMRI; reward value; outcome phase; decision making; erotic stimuli; MNI; performance-dependent,Right,posterior orbital gyrus,nan,7.54,30,33,-15,,,0.05,,496,30,33,-15,Right-ParsOrbitalis (47),29,28,-11,Right-ParsOrbitalis ,47.0
